Domain,Type,Symptoms
Diabetes,Type 1 Diabetes,"Thirst, frequent urination, tiredness, blurred vision"
Diabetes,Type 2 Diabetes,"Thirst, frequent urination, tiredness, blurred vision"
Diabetes,Gestational Diabetes,"Thirst, frequent urination, tiredness, blurred vision"
Blood Pressure,Hypertension,"Headache, dizziness, nosebleeds"
Blood Pressure,Hypotension,"Fainting, dizziness"
Fever-related Illnesses,Dengue,"High fever, chills, body pain, weakness"
Fever-related Illnesses,Malaria,"High fever, chills, body pain, weakness"
Fever-related Illnesses,Typhoid,"High fever, chills, body pain, weakness"
Fever-related Illnesses,Viral Fever,"High fever, chills, body pain, weakness"
Asthma,Allergic Asthma,"Breathing trouble, chest tightness, coughing"
Asthma,Exercise-Induced Asthma,"Breathing trouble, chest tightness, coughing"
Asthma,Occupational Asthma,"Breathing trouble, chest tightness, coughing"
Thyroid Disorders,Hypothyroidism,"Weight changes, fatigue, mood swings"
Thyroid Disorders,Hyperthyroidism,"Weight changes, fatigue, mood swings"
Thyroid Disorders,Goiter,"Weight changes, fatigue, mood swings"
Thyroid Disorders,Thyroid Nodules,"Weight changes, fatigue, mood swings"
Heart Diseases,Coronary Artery Disease,"Chest pain, breathlessness, tiredness"
Heart Diseases,Heart Attack,"Chest pain, breathlessness, tiredness"
Heart Diseases,Heart Failure,"Chest pain, breathlessness, tiredness"
Heart Diseases,Arrhythmia,"Chest pain, breathlessness, tiredness"
Kidney Diseases,Acute Kidney Injury,"Swelling, low urine, back pain"
Kidney Diseases,Chronic Kidney Disease,"Swelling, low urine, back pain"
Kidney Diseases,Kidney Stones,"Swelling, low urine, back pain"
Kidney Diseases,Urinary Tract Infection,"Swelling, low urine, back pain"
Liver Diseases,Jaundice,"Yellow skin, tiredness, stomach pain"
Liver Diseases,Hepatitis,"Yellow skin, tiredness, stomach pain"
Liver Diseases,Fatty Liver Disease,"Yellow skin, tiredness, stomach pain"
Liver Diseases,Cirrhosis,"Yellow skin, tiredness, stomach pain"
Anemia,Iron Deficiency Anemia,"Pale skin, fatigue, short breath"
Anemia,Vitamin Deficiency Anemia,"Pale skin, fatigue, short breath"
Anemia,Sickle Cell Anemia,"Pale skin, fatigue, short breath"
Anemia,Aplastic Anemia,"Pale skin, fatigue, short breath"
Tuberculosis,Pulmonary TB,"Cough with blood, night sweats, weight loss"
Tuberculosis,Extrapulmonary TB,"Cough with blood, night sweats, weight loss"
Tuberculosis,Latent TB,"Cough with blood, night sweats, weight loss"
Tuberculosis,Active TB,"Cough with blood, night sweats, weight loss"
COVID-19,Mild,"Fever, loss of taste/smell, cough, tiredness"
COVID-19,Moderate,"Fever, loss of taste/smell, cough, tiredness"
COVID-19,Severe,"Fever, loss of taste/smell, cough, tiredness"
COVID-19,Post-COVID Syndrome,"Fever, loss of taste/smell, cough, tiredness"
Skin Infections,Fungal,"Itching, red patches, rashes"
Skin Infections,Bacterial,"Itching, red patches, rashes"
Skin Infections,Viral,"Itching, red patches, rashes"
Skin Infections,Parasitic,"Itching, red patches, rashes"
